username,rating,comments,label
thanhngannehehe,5,"Áo màu sắc đẹp, vải dày dặn, đường may tinh tế, form áo vừa vặn. 1m82, 90 kg mặc vừa 3XL nha.
Giao hàng nhanh chóng, đóng gói cẩn thận. Sản phẩm của yody thì chất lượng khỏi bàn",1
thu_nv1985,5,"Chất liệu:tốt
Đúng với mô tả:sản phẩm đúng mô tả
Màu sắc:chuẩn,đẹp

Rất hài lòng với hàng của shop,tư vấn rất nhiệt tình,đóng gói cẩn thận,giao hàng nhanh",1
thanhthao5000,5,"Màu sắc:đỏ
Đúng với mô tả:đúng

Mình cái 1m65 nặng 70kg mặc XL vừa sít luôn. Màu đẹp, chất lượng tốt. Giá quá rẻ. Mà k hiểu sao cùng mẫu mà màu đỏ thì hơn 200k. Còn các màu khác tận gần 500k",1
thomai356,5,"Màu sắc:tim than
Đúng với mô tả:đúng với hình ảnh
Chất liệu:vai gio

Mua cho chồng,màu tím than đẹp,có xu va áp vocher được giá,sẽ ủng hộ shop lần sau",1
b*****6,5,"Đúng với mô tả:ok
Màu sắc:tím than
Chất liệu:giống vải dù

Hàng yody thì khỏi phải nói nữa goy chất liệu khá tốt 2 vợ chồng mua đồ miết áo khoác áo polo hơn cả chục cái ạ. Sẽ ùn hộ miết thoi.",1
p*****4,5,"Chất liệu:gió
Màu sắc:ghi
Đúng với mô tả:ok

sản phẩm đúng mô tả, vải gió giữ ấm tốt. màu nhã nhặn. ck mình thích hehehehe",1
ngatran2191,5,"Đúng với mô tả:đúng
Màu sắc:xanh than
Chất liệu:polyeste

Nhìn bề ngoài đường may khá chắc chắn, k chỉ thừa. Sản phẩm có vẻ tốt, đã mua hàng bên yody nhiều lần thấy sử dụng ổn. Lần đầu mua áo gió này trải nghiệm một thời gian xem thế nào. Nếu tốt như mô tả sẽ quay lại mua tiếp",1
u2at248y3q,5,"Màu sắc:tim than
Chất liệu:mát
Đúng với mô tả:đúng

Giao tới khoảng 4 ngày, màu đẹp, vừa form, tư vấn nhiệt tình, Yody thì thương hiệu tốt rồi. Look good-feel good ",1
sumisony,5,"Chất liệu:ok
Màu sắc:ok
Đúng với mô tả:ok

Hàng dày dặn màu đẹp cản gió trượt nước tốt áo phom rộng mặc ấm nhẹ hàng sale nên giá cũng ổn hơn so với cửa hàng",1
danphuong.tran,5,"Chất liệu:Đẹp , thoáng
Màu sắc:màu đen đậm
Đúng với mô tả:đúng với hình ảnh và lời quảng cáo, ship giao nhanh, mua với giá rẻ như này cũng ok lắm rồi, ủng hộ shop nhiều lần",1
bsj2reps5_,5,"Màu sắc:đẹp
Chất liệu:tốt
Đúng với mô tả:đúng

tin mô tả:

Toyota Vios G 2023
Những cải tiến:
Màn hình (Apple Carplay/Android Auto)
Ghế thể thao
Hệ thống cảnh báo tiền va chạm ( )
Hệ thống cảnh báo lệch làn đường ( )
Cổng cho hàng ghế sau
Lẫy chuyến số trên vô-lăng
Đèn pha cho tất cả các phiên bản
Thiết kế mặt calang mới hoàn toàn",-1
k*****1,5,"Đúng với mô tả:đúng màu, đúng kiểu dáng
Màu sắc:nâu
Chất liệu:100% polyester

Shop đóng gói và giao hàng nhanh, ở BD mới đặt hôm qua hôm nay đã nhận được, áo giống với mẫu , cầm nặng tay, áo chuẩn sz, mn nên mua.",1
bap_datdo,5,"Màu sắc:xanh đen
Chất liệu:dù
Đúng với mô tả:vải dày, không thấm nước

Đã nhận được hàng, áo đẹp, xịn, nhìn mỹ quan rất ok, dây kéo chắc chắn, nói chung đáng để mua ạ",1
cunxu_201,5,"Chất liệu:gió
Màu sắc:đen+ hồng
Đúng với mô tả:chuẩn

Mua trước màu đen rồi nên đặt thêm
Hàng ổn trong tầm giá
Mặc khoác ngoài cũng ok 
Giao hàng nhanh",1
ngo_thuy_nga_95_hd,5,"Chất liệu:polyester
Màu sắc:nân
Đúng với mô tả:chuẩn

Nhận được áo đẹp dầy đóng gói chắc chắn nhân viên nhiệt tình áo gió hai lớp chống nước màu sắc thời thượng",1
ayunayun752,5,"Chất liệu:nylon
Đúng với mô tả:dúng
Màu sắc:đỏ đô

Áo mặc mát thoải mái.vừa đi nắng và gió cũng tốt.trượt nước tốt.3xl vừa cho người 90 kg bụng bia nhé.mn có cân nặng vậy thoải mái mua.dảm bảo vừa dẹp luôn chứ ko bị chật chội gì đâu.",1
minhnguyet_0204,5,"Chất liệu:ok
Màu sắc:ok
Đúng với mô tả:ok

[TB] Tang 20% gia tri tat ca the nap trong ngay 14/10/2023. Tien KM su dung noi mang, khong gioi han thoi gian. Nap the online tai https://myvt.page.link/km . CT danh rieng cho TB cua Quy khach. LH 198 (0d).",-1
